instId,baseCurrency,quoteCurrency,contractValue,listTime,expireTime,maxLeverage,minSize,lotSize,tickSize,instType,contractType,maxLimitSize,maxMarketSize,state,thresholdX,thresholdY,thresholdZ,settleCurrency
MUBARAK-USDT,MUBARAK,USDT,10,1742220000000,2499595667000,50,1,1,0.00001,SWAP,linear,1000000,100000,live,0.04,0.04,0.3,USDT
MAVIA-USDT,MAVIA,USDT,1,1742211000000,2521900800000,20,1,1,0.00001,SWAP,linear,75000,55000,live,0.04,0.04,0.3,USDT
BMT-USDT,BMT,USDT,10,1741861800000,2499240906000,25,1,1,0.00001,SWAP,linear,33000,15000,live,0.04,0.04,0.3,USDT
EPIC-USDT,EPIC,USDT,1,1741856400000,2499236269000,50,1,1,0.0001,SWAP,linear,500000,20000,live,0.04,0.04,0.3,USDT
VIC-USDT,VIC,USDT,10,1741836600000,2499214345000,50,1,1,0.0001,SWAP,linear,300000,30000,live,0.04,0.04,0.3,USDT
RED-USDT,RED,USDT,1,1741269600000,2498650718000,50,1,1,0.0001,SWAP,linear,125000,25000,live,0.04,0.04,0.3,USDT
KAITO-USDT,KAITO,USDT,1,1740060900000,2497416200000,50,1,1,0.0001,SWAP,linear,12500000,100000,live,0.04,0.02,0.3,USDT
GPS-USDT,GPS,USDT,10,1739812500000,2497187817000,50,1,1,0.000001,SWAP,linear,700000,80000,live,0.04,0.04,0.3,USDT
SHELL-USDT,SHELL,USDT,1,1739792700000,2497173252000,50,1,1,0.00001,SWAP,linear,355000,71000,live,0.04,0.04,0.3,USDT
B3-USDT,B3,USDT,100,1739447100000,2496822829000,50,1,1,0.000001,SWAP,linear,800000,160000,live,0.04,0.04,0.3,USDT
IP-USDT,IP,USDT,1,1739441700000,2496811921000,75,1,1,0.001,SWAP,linear,4010000,20000,live,0.04,0.02,0.3,USDT
LAYER-USDT,LAYER,USDT,1,1739285100000,2496658048000,20,1,1,0.0001,SWAP,linear,19160575,100000,live,0.04,0.02,0.3,USDT
TST-USDT,TST,USDT,10,1739176200000,2496555111000,50,1,1,0.00001,SWAP,linear,200000,20000,live,0.04,0.04,0.3,USDT
BERA-USDT,BERA,USDT,0.1,1738850700000,2496208593000,75,1,1,0.001,SWAP,linear,1040000,300000,live,0.04,0.04,0.3,USDT
