Timestamp,Open,High,Low,Close,Volume,CurrencyVolume,TradeAmount,Flag
1764214200000,2.2123,2.2123,2.2056,2.2085,4898,489849,1081643.6144,1
1764213300000,2.2162,2.2201,2.2121,2.2127,1105,110591,245096.7118,1
1764212400000,2.2187,2.2231,2.2138,2.2162,3981,398104,883103.8019,1
1764211500000,2.2309,2.2325,2.2186,2.2188,2655,265583,591103.9371,1
1764210600000,2.2296,2.233,2.2234,2.2314,3650,365006,813867.4756,1
1764209700000,2.2212,2.2297,2.2173,2.2296,3242,324255,719678.8191,1
1764208800000,2.2254,2.2267,2.2195,2.2219,2299,229928,510986.4066,1
1764207900000,2.2197,2.229,2.217,2.2266,1383,138352,307514.8805,1
1764207000000,2.2191,2.221,2.2149,2.2205,733,73375,162735.3834,1
1764206100000,2.2189,2.2234,2.215,2.2198,1385,138534,307391.6029,1
1764205200000,2.2192,2.2291,2.2163,2.2187,2513,251352,558469.3668,1
1764204300000,2.2248,2.2325,2.2188,2.2194,2686,268600,598105.176,1
1764203400000,2.2173,2.2242,2.2165,2.2241,1375,137512,305228.9006,1
1764202500000,2.2148,2.2191,2.2131,2.2177,3071,307162,681077.7842,1
1764201600000,2.2211,2.2223,2.2115,2.2145,2639,263960,584802.4436,1
1764200700000,2.2207,2.2248,2.2204,2.2214,827,82797,184051.0292,1
1764199800000,2.2183,2.2254,2.2183,2.2209,931,93180,207016.9087,1
1764198900000,2.2274,2.2274,2.2185,2.2185,2000,200027,444392.7645,1
1764198000000,2.2226,2.2308,2.2208,2.2274,3376,337665,752063.2849,1
1764197100000,2.221,2.2262,2.2201,2.2228,3184,318432,707617.5584,1
1764196200000,2.2228,2.227,2.2187,2.2217,1096,109686,243849.8104,1
1764195300000,2.226,2.2316,2.2188,2.2233,1756,175655,390822.2447,1
1764194400000,2.2249,2.2329,2.2192,2.2261,1687,168790,375355.5207,1
1764193500000,2.2241,2.2318,2.2213,2.2249,1385,138597,308578.1938,1
1764192600000,2.2323,2.2346,2.2236,2.2241,2759,275913,614608.4567,1
1764191700000,2.222,2.2347,2.2163,2.2329,7156,715678,1592478.4449,1
1764190800000,2.2261,2.2295,2.2216,2.222,2868,286810,638291.695,1
1764189900000,2.2114,2.2271,2.2109,2.2254,5699,569944,1266812.0752,1
1764189000000,2.2209,2.2245,2.2105,2.2108,2228,222845,493890.8693,1
1764188100000,2.2273,2.2283,2.218,2.2215,8832,883272,1964938.2904,1
1764187200000,2.2305,2.2318,2.2151,2.2266,9131,913119,2030639.361,1
1764186300000,2.2321,2.2367,2.23,2.2311,1714,171432,382861.3226,1
1764185400000,2.236,2.2391,2.2309,2.2332,2950,295096,659634.5445,1
1764184500000,2.2297,2.237,2.2251,2.2368,3436,343628,766904.2162,1
1764183600000,2.2417,2.2421,2.2261,2.2289,3576,357606,798871.5302,1
1764182700000,2.2247,2.2423,2.2232,2.2418,4414,441478,986044.702,1
1764181800000,2.2473,2.2477,2.2238,2.225,8687,868769,1942200.5705,1
1764180900000,2.2417,2.2542,2.2403,2.2476,10990,1099045,2467892.7457,1
1764180000000,2.2335,2.2469,2.2322,2.2414,6256,625602,1400710.664,1
