instrument,symbol,base_currency,base_symbol,quote_currency,quote_symbol,instrument_type,contract_type,contract_value,max_leverage,min_size,lot_size,tick_size,digits,max_limit_size,max_market_size,leverage,margin_mode,martingale_factor,bulk_collection_rate,interval_collection_rate,sma_factor,trade_period,trade_timeframe,timeframe_units,trade_state,trade_status,suspense,list_time,expiry_time
8211DF,BAL-USDT,980B70,BAL,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.0001,5,84180000,54000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/10/18 01:30:00","2029/10/10 01:30:00"
9.74E+81,BAN-USDT,7E74B5,BAN,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,300000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/11/18 04:10:00","2049/11/18 02:08:20"
0E8334,BANANA-USDT,A1D1ED,BANANA,350FE2,USDT,SWAP,linear,0.1,50,1,1,0.001,4,1500000,40000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/07/19 08:30:00","2028/12/31 08:00:00"
6A1C8F,BANANAS31-USDT,7598D0,BANANAS31,350FE2,USDT,SWAP,linear,100,75,1,1,1E-06,7,2500000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/03/22 02:30:00","2049/11/26 03:00:00"
B48362,BAND-USDT,D29B7E,BAND,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,10000000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/09 00:45:05","2030/11/30 20:30:00"
C4D1EE,BANK-USDT,BBB9AF,BANK,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,2000000,200000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/04/18 22:00:00","2124/08/01 03:00:00"
490DA2,BAS-USDT,447A88,BAS,350FE2,USDT,SWAP,linear,100,50,1,1,1E-06,7,900000,60000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/26 06:45:00","2124/08/01 03:00:00"
FF16D4,BAT-USDT,F59417,BAT,350FE2,USDT,SWAP,linear,10,20,1,1,0.0001,5,5356000,23000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2049/10/10 01:30:00"
0B2259,BB-USDT,703099,BB,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,100000,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/05/13 06:00:05","2030/11/30 08:00:00"
30772F,BCH-USDT,4480C0,BCH,350FE2,USDT,SWAP,linear,0.1,50,0.1,0.1,0.1,2,300000,9000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2049/11/30 08:00:00"
F0724A,BDXN-USDT,FF6CC5,BDXN,350FE2,USDT,SWAP,linear,10,40,1,1,1E-05,6,1000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/06/03 03:45:00","2125/05/10 03:02:24.800"
CA843B,BEAM-USDT,372602,BEAM,350FE2,USDT,SWAP,linear,1,25,1,1,1E-06,7,15140000,1570000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/15 00:30:05","2030/11/30 20:30:00"
DC2EDC,BEL-USDT,516CAC,BEL,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,10000000,250000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
ED6304,BERA-USDT,401407,BERA,350FE2,USDT,SWAP,linear,0.1,75,1,1,0.001,4,1040000,300000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/02/06 06:05:00","2049/02/05 23:16:33"
01C990,BICO-USDT,941800,BICO,350FE2,USDT,SWAP,linear,1,20,1,1,1E-05,6,72620000,33000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/07 20:30:05","2030/11/30 20:30:00"
3055CF,BID-USDT,17CE5C,BID,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,1500000,150000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/03/20 02:45:00","2049/11/26 03:00:00"
289EAF,BIGTIME-USDT,7FC80F,BIGTIME,350FE2,USDT,SWAP,linear,1,20,1,1,1E-05,6,189910000,300000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/12 07:30:05","2030/10/12 03:35:01"
77665A,BIO-USDT,68EB6F,BIO,350FE2,USDT,SWAP,linear,1,20,1,1,1E-05,6,66659557,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/01/03 03:00:00","2049/01/02 23:14:51"
B96726,BLAST-USDT,80E779,BLAST,350FE2,USDT,SWAP,linear,100,25,1,1,1E-06,7,40000,8000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/06/27 05:00:00","2029/05/31 09:00:00"
E4BEAA,BLUR-USDT,F49DDF,BLUR,350FE2,USDT,SWAP,linear,1,20,1,1,1E-05,6,73200000,150000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/02/22 04:30:00","2029/11/30 08:00:00"
E0705C,BMT-USDT,7BF59D,BMT,350FE2,USDT,SWAP,linear,10,25,1,1,1E-05,6,140000,28000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/03/13 03:30:00","2049/03/13 01:35:06"
2EA399,BNB-USDC,E1F417,BNB,5B70F6,USDC,SWAP,linear,0.01,75,1,1,0.01,3,8000000,40000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/18 02:00:00","2124/08/01 03:00:00"
0DCD22,BNB-USDT,E1F417,BNB,350FE2,USDT,SWAP,linear,0.01,75,1,1,0.01,3,10000000,82000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2049/11/30 08:00:00"
BD6A78,BNT-USDT,D7814B,BNT,350FE2,USDT,SWAP,linear,10,20,1,1,0.0001,5,2000000,4400,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
DC780D,BNX-USDT,B16026,BNX,350FE2,USDT,SWAP,linear,0.1,7,1,1,0.0001,5,8238500,3200000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/10/18 01:30:00","2029/10/10 01:30:00"
